,Percent; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent; Estimate; Population 25 years and over - Bachelor's degree,Employment/Population Ratio; Estimate; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,Median income (dollars); Estimate; Households,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Some other race,Occupied housing units; Estimate; Occupied housing units,Owner-occupied housing units; Estimate; Occupied housing units,Renter-occupied housing units; Estimate; Occupied housing units,Percent below poverty level; Estimate; Population for whom poverty status is determined,Estimate; SEX AND AGE - Total population,Percent; SEX AND AGE - Total population - Male,Percent; SEX AND AGE - Total population - Female,Estimate; SEX AND AGE - Median age (years),Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - Asian,Percent; RACE - One race - Some other race,UOF_Use of Physical Force,UOF_Use of Non-Lethal Weapon,UOF_Use of Lethal Weapon,UOF_Fatal Use of Weapon,Crime_Violent,Crime_Non-Violent,Crime_Non-Criminal,Race_Native American,Race_Asian,Race_Black,Race_Latinx,Race_Pacific Islander,Race_Not Listed,Race_White,Race_Bi-Racial,Gender_Male,Gender_Female,Gender_Not Listed,City
Downtown,62.61766164550952,82.11755190683213,163.1861830562129,21.29526933286619,160924.49037602948,172909.28090057528,79016.46627749785,94380.25306349946,135.7688033917631,7417.699918865043,1702.4216733790067,5715.278245486034,81.0783081464515,14495.845794968065,193.63400874311773,136.6190922229315,105.76897117077914,218.74166578683278,75.44292256754757,16.075693612194396,7.066045138732515,120.6,29.2,0.0,,,,,0.0,0.0,77.8,6.8,0.0,0.0,64.2,,136.8,20.2,0.2,Indianapolis
Excluded,551.8078274187411,341.13541569574437,1213.6845573978753,199.06201110284132,895292.347255278,971560.551236642,528015.4536061235,140334.44711328053,131164.16223444187,35786.959908012155,20170.276865912743,15616.683042099392,388.9395653924264,92640.21223284004,921.6771532626269,1001.3612467890313,661.694155413701,1332.0641294661086,431.51963481972956,28.905019180195833,72.45692289353569,,,,,,,,,,,,,,,,,,,
North,1216.509272675199,1508.466198915409,3577.713174058764,584.8122306610043,3007330.113229732,3289702.533476005,1833222.9594749585,1213316.9124598631,200172.84242282502,92441.0596957629,48631.39595516987,43809.663740593096,1018.721059290357,212049.85596796306,2710.609869446126,3006.925898100079,2144.1989349211244,3193.174186193448,2082.9225166821893,116.42015645758632,130.63501677258606,197.6,43.2,0.4,,,,,0.0,0.2,164.6,6.0,0.0,2.4,71.4,,201.8,55.0,0.4,Indianapolis
Northeast,1442.157912446568,552.1787999163906,2304.977382991002,673.5290200671399,1439887.4746110581,1640909.2643436694,910918.4619493599,161507.19889130065,77142.24579394466,56933.807814972024,27899.20855185225,29034.599263119755,1261.5781872849711,142449.36509257968,2049.110110250799,2201.416993982708,1488.8640345841593,2300.551091445769,1705.9542863240836,27.13354483092109,79.58218805639171,,,,,,,,,,,,,,,,,,,
Northwest,951.5626813920774,659.3193906163433,2203.1406947870632,395.6395021496473,1580357.7035909044,1882672.972978509,1475496.6798577504,546368.7368449612,648282.2266027457,56599.21194937846,29020.835230129753,27578.376719248718,752.597779623314,147904.30805227134,1707.4728406081617,1914.9444037332808,1221.7271911906878,1491.2638625199634,1585.5926862807053,95.0206806086752,323.94191172306483,222.2,36.8,0.6,,,,,0.8,0.0,172.4,27.4,0.0,0.0,56.4,,222.6,51.6,0.0,Indianapolis
Southeast,1310.416369806683,524.0273657873854,2154.0982049422955,403.217161585967,1578716.6611054717,1640129.8248702649,556102.6310626145,351919.5692764221,180918.07911752307,66078.52343331225,39328.07671986292,26750.44671344934,853.8485066521064,179074.47419904696,1849.7199947040933,1914.5935096381386,1333.671870086844,3120.2434172070566,323.0289431622993,146.19230799153792,86.40052578553735,200.0,44.6,0.2,,,,,0.0,0.6,71.2,11.2,0.0,1.6,152.6,,198.8,51.4,0.0,Indianapolis
Southwest,932.0490031541498,292.91923039915935,1576.3867519860933,345.98699122804106,1048793.102352316,1083024.9062147492,669450.5953048613,107805.97587180612,348122.03674472135,50121.69698354952,29004.69400300061,21117.002980548903,750.0457312768767,137471.4127485533,1400.1675694953153,1387.7440898652428,964.8459012566249,1924.3252634052108,500.1992223073489,43.13417490959963,236.71753326763718,252.8,70.0,0.6,,,,,0.0,1.4,85.0,15.6,0.0,1.2,212.8,,275.0,58.8,0.0,Indianapolis
1,125.08963426968067,267.74288918982523,539.1132766149348,93.9006083519128,403805.50250707293,458563.6715740283,62454.209756919285,293369.8492073145,28430.395224267653,18729.183037452494,4438.307915948367,14290.875121504127,266.8595051266008,36721.504892499266,469.37196659629933,387.31225721792055,274.61582254171157,533.6134374637,207.55558595009566,59.491276896922514,18.725225370091053,451.0,298.72727272727275,1.0,,,,,15.909090909090908,16.90909090909091,477.0,,0.09090909090909091,26.0,193.8181818181818,,622.7272727272727,112.45454545454545,15.545454545454545,Minneapolis
2,332.311508351489,569.5082311840785,1384.9268905454019,122.4084815013735,971425.6742400068,1073093.7967863004,231887.30279634174,552235.3220017275,146943.47549070287,27026.687736649546,11612.799355787532,15413.888380862012,529.9684301744396,68872.70797072774,1012.1376804782425,970.2357068237023,629.4319114316673,1482.3583148960731,187.43956580110154,134.92472824804338,64.72089675672805,164.9090909090909,41.09090909090909,0.18181818181818182,,,,,11.272727272727273,1.5454545454545454,78.27272727272727,,0.18181818181818182,2.727272727272727,96.72727272727273,,185.27272727272728,19.636363636363637,1.2727272727272727,Minneapolis
3,682.7137664474774,925.8688413685712,2485.3177728648184,281.6292838267058,2029845.044867829,2271960.1224392555,794553.0578197201,519696.29727352364,513648.7265243654,47579.45253850713,28878.984657182184,18700.46788132496,689.6939510910739,120115.67047375052,1788.632472098478,1813.1326952895722,1251.3613506351785,2363.58583454069,628.5310874547015,100.00273016656158,249.5679799917603,338.09090909090907,88.9090909090909,0.8181818181818182,,,,,60.18181818181818,2.6363636363636362,219.0909090909091,,0.0,6.636363636363637,95.36363636363636,,381.0,44.27272727272727,2.5454545454545454,Minneapolis
4,624.047241236909,375.1467872747231,1321.9024077146203,343.90124925254116,973619.3009682943,1226250.4637127388,606098.0250156629,479808.59824045596,210137.36270668718,23474.90277418688,12293.387520645074,11181.51525354181,694.6405411104087,67087.05682960869,1124.7481754797818,1200.2344386896532,699.2630904749857,781.7489225228403,967.3517588445579,295.6824377742575,86.2876777488474,516.0909090909091,119.0909090909091,1.8181818181818181,,,,,14.363636363636363,10.181818181818182,528.2727272727273,,0.0,12.818181818181818,61.63636363636363,,563.4545454545455,70.45454545454545,3.090909090909091,Minneapolis
5,286.91429824650425,979.2954121447178,2051.867346472183,141.8257612302595,1968089.09860505,2057871.7118677597,724490.6696389323,1674699.3887957726,213441.32551411993,49927.812175578394,22526.678733306704,27401.133442271694,371.9766690973844,103354.69577817727,1388.7897936442532,1323.8029297437167,939.9124422780833,2143.6113392977554,249.43282019674965,95.99880438997165,100.52035181568945,165.72727272727272,59.0,0.09090909090909091,,,,,12.545454545454545,3.1818181818181817,98.0909090909091,,0.0,4.545454545454546,93.81818181818181,,187.45454545454547,35.18181818181818,2.1818181818181817,Minneapolis
99,98.88963036789988,77.56871414219324,249.78140611192867,30.80049100942841,244120.4113122109,252778.458174761,175912.5632331605,272976.1941795062,109691.66847787984,6242.113783166861,3673.656096537208,2568.4576866296547,45.3354295759767,16757.172867896228,198.87265917055947,212.70466795133365,161.8662334532282,211.18493519778542,57.78022575744797,82.46339528494704,14.533697695098363,5.0,0.2,0.0,0.0,,,,0.0,1.2,2.6,0.0,0.0,0.2,1.2,,4.2,1.0,0.0,Seattle
B1,10.844116161502988,71.49993462152968,119.90594941622177,7.777017823942119,123578.24443074098,126499.57716224738,38476.0942595393,69786.74540532014,0.0,6728.870519220158,2594.447744176482,4134.422775043675,10.418431654985294,12560.494075352892,80.52304035739087,77.44014174670603,55.522907526864415,136.51578124542087,1.7948527525807088,8.970005942836098,1.8082016877520535,17.0,6.4,0.0,0.4,,,,0.0,0.2,3.8,0.8,0.0,3.2,15.8,,19.0,4.8,0.0,Seattle
B2,20.041295360107814,178.62681011745963,315.5542496600223,17.602997412120363,334655.42631132813,332581.25153817557,20596.815937823158,352661.100888646,0.0,10835.951662410213,4129.339535689899,6706.612126720313,21.386124753041685,21596.169034172148,193.13339372780112,205.40401348193825,137.92467793968154,345.0111099461011,3.9343860934974666,19.97030073661242,1.7011450998402506,9.8,7.6,0.0,0.4,,,,0.4,0.0,3.6,0.8,0.0,1.0,12.0,,14.4,3.4,0.0,Seattle
B3,21.24800481998112,191.90375848281246,348.4382448380059,17.9993753997141,370800.7282262612,378884.657441028,0.0,118699.49228672864,73750.0,9436.591394716907,3882.7770395060065,5553.8143552109,58.148161563061564,19647.122925435022,234.46690517238758,224.9208261705769,150.99347831362027,378.42028430833864,5.043928301214147,44.036771552121756,5.087037929040117,11.2,5.0,0.4,0.0,,,,0.2,0.2,2.2,0.0,0.0,2.6,11.4,,12.0,4.6,0.0,Seattle
C1,12.369354498951388,101.3193673485474,192.8276806571637,10.570123369783552,219116.41242730917,223572.26804643776,14566.52265379706,212338.40223032108,0.0,6862.710103846742,2428.0467967106706,4434.66330713607,15.077328776992381,12155.992053891434,135.70177624924904,113.47673900574607,87.5958205866209,210.05307248922344,7.5571551358884195,16.436547639988998,1.9309594856676269,11.6,2.8,0.0,0.4,,,,0.4,0.2,2.4,0.4,0.0,3.8,7.6,,11.0,3.6,0.2,Seattle
C2,18.382766886321253,125.93967480164385,225.7475559263662,13.401692403160279,378844.5083942793,392439.9152671253,52731.82920305927,229755.5771926729,0.0,6043.936470329175,3567.899705294353,2476.0367650348217,19.103376530728987,13251.179615075192,165.1051439392561,158.40676177529232,125.47316478606271,270.7657262988377,13.990841930094184,23.173421071601755,2.0440297304329342,8.8,2.0,0.0,0.0,,,,0.0,0.0,2.8,0.2,0.0,1.6,6.2,,8.8,2.0,0.0,Seattle
C3,17.01957852080951,94.94162737805976,164.6477030636633,12.682487371252394,208889.46388877762,233455.36885304708,100845.91541312465,208117.15355842543,0.0,5721.699753915836,2677.3586085877737,3044.3411453280632,24.14583077596525,12409.316637143706,119.09404213888028,113.02944328271447,81.49189870978977,168.94360856823843,29.154078711290882,17.30893865807656,4.339974955096648,11.6,3.4,0.2,0.0,,,,0.0,0.0,5.0,0.0,0.0,4.2,6.0,,10.0,5.0,0.2,Seattle
D1,18.828215294300023,57.631275390768316,123.47835311601858,7.9710430055607056,118870.67212790434,131205.39882506456,9574.512389536552,82361.10036866738,117527.54340005333,6382.9749900052875,1323.75970992328,5059.215280082009,31.108011311026512,8866.750997485511,97.49092360446583,79.89848399901707,66.98597182182328,122.21686072717318,14.283619865948003,26.76365664527455,3.8324156096474775,20.8,13.0,0.0,0.6,,,,0.2,0.0,15.4,1.2,1.0,6.4,10.2,,29.6,4.8,0.0,Seattle
D2,6.677331743044186,51.31693518517669,105.38489669294258,4.856548208869783,112245.15471868601,109248.96594184006,7.06923670885045,117044.34064462292,0.0,6055.066007564706,1335.397126085984,4719.668881478721,11.882971453245199,9055.153150483571,74.56504126045712,61.07673216771461,44.70008439807339,94.87134263457176,5.359267812504265,24.19367725908637,1.3834375563840913,38.8,11.0,0.0,2.0,,,,0.2,0.6,10.0,1.6,0.2,16.2,23.0,,33.0,9.8,9.0,Seattle
D3,10.112432539499137,77.27809461113704,152.0260669703874,10.42632905380774,157017.0192664692,165356.16957781542,17.096808068727267,149453.09104208887,0.0,5976.034020781163,1296.5478275834962,4679.486193197667,19.20976637591647,9337.162253691999,111.77277986053879,87.19753902861314,67.27938845966752,151.98648217907188,7.001222901502416,22.640416425833408,1.8812745302432017,14.0,11.6,1.2,1.2,,,,0.0,0.2,7.8,0.0,0.0,4.4,15.6,,23.2,4.2,0.6,Seattle
